S#,Title,Location,Date,Summary,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude
285,"Luby's Cafeteria in Killeen, Texas","Killeen, Texas",10/16/1991,"On October 16, 1991, a 35-year old unemployed seaman drove his truck through a window at Luby's Cafeteria in Killeen, Texas. He then opened fire, killing twenty-three people and wounding twenty before turning the gun on himself.",24,20,43,Yes,White American or European American,Male,31.07925506,-97.73392317
286,Ridgewood Post Office,"Ridgewood, New Jersey",10/10/1991,"On October 10, 1991, a 35-year old former postal clerk, apparently seeking revenge for his dismissal, killed his former supervisor with sword and shot her boyfriend at their home. Then entered the post office where he used to work in Ridgewood, New Jersey, and killed two of his former co-workers. After a four-hour standoff with police, the shooter was arrested. Before leaving his apartment, the shooter rigged a homemade bomb of explosives to his front door.",3,0,3,Yes,Black American or African American,Male,40.98213277,-74.11264731
287,Wat Promkunaram Buddhist Temple,"Phoenix, Arizona",8/9/1991,"On the evening on August 9, 1991, two high school students in the Air Force ROTC program entered a Buddhist monastery intending to steal cameras, golden religious paraphernalia and cash from the monks. After looting the monastery and holding the monks hostage, the boys decided to shoot and kill all nine occupants of the house to leave no witnesses of their crime.",9,0,9,No,Asian American/Some other race,Male,33.57145875,-112.0904854
288,GMAC Loan Office,"Jacksonville, Florida",6/17/1990,"After fatally shooting a man and woman and wounding two teenage boys, the 42-year-old gunman robbed a convenience store at gunpoint on June 17, 1990. The next day, the shooter opened fire at the General Motors Acceptance Corporation car loan office in Jacksonville, Florida, killing seven employees and a customer and injuring four others before turning the gun on himself.",12,6,17,No,Black American or African American,Male,30.33216122,-81.67576993
289,Standard Gravure Corporation,"Louisville, Kentucky",9/14/1989,"On September 14. 1989, a 47-year-old man, disgruntled by his work situation and suffering from mental illness, entered the Standard Gravure printing company in Louisville, Kentucky, his former workplace, and began shooting. The incident ended with eight fatalities and twelve gun injuries before the shooter ending his own life with a bullet.",9,12,20,Yes,White American or European American,Male,38.249432,-85.726243
290,Orange Glenn Post Office,"Escondido, California",8/10/1989,"On August 10, 1989, a 52-year-old ""model"" postal worker murdered his wife in their home before arriving to work at the Orange Glen Post Office in Escondido, California. He then shot and killed two co-workers and injured another before taking the gun to his own head, dying later in a hospital.",4,1,4,No,White American or European American,Male,33.13439925,-117.0722528
291,Cleveland Elementary School,"Stockton, California",1/17/1989,"On January 17, 1989, an unemployed 24-year-old man arrived to Cleveland Elementary School in Stockton, California. He set his car on fire in the parking lot, before entering the school to begin shooting. The shooter killed five students and injured thirty others including a teacher, before killing himself.",6,30,35,Yes,White American or European American,Male,37.96631812,-121.3018775
292,New Orleans Downtown Post Office,"New Orleans, Louisiana",12/14/1988,"On December 14, 1988, a 39-year-old post office employee entered the main post office in downtown New Orleans, Louisiana, where he worked with a shotgun. He took his ex-girlfriend as a hostage and was able to hold off police and FBI agents for 13 hours until he surrendered. He injured three co-workers and one FBI agent.",0,4,4,Unknown,Unknown,Male,30.0687242,-89.93147412
293,Oakland Elementary School,"Greenwood, South Carolina",9/26/1988,"On September 26, 1988, an unemployed 19-year-old man entered the Oakland Elementary School in Greenwood, South Carolina. He was arrested after killing two 8-year-old girls and injuring seven other students and two teachers. He was later found ""guilty but mentally ill.""",2,9,11,Yes,White American or European American,Male,34.1928952,-82.15355508
294,Comet Auto Parts and Montefiore School,"Chicago, Illinois",9/22/1988,"On September 22, 1988, a 40-year-old Vietnam veteran shot and killed two employees at a Comet Auto Parts in Chicago, Illinois before heading to the Montefiore School to continue the shooting. He injured a city worker and fatally wounded a custodian at the school before he was discovered by police. The shooter opened fire on the officers, injuring one and killing another.",5,2,6,No,Black American or African American,Male,41.83928045,-87.68818145
295,Hubbard Woods Elementary School,"Winnetka, Illinois",5/20/1988,"On May 20, 1988, a 30-year-old woman entered the Hubbard Woods Elementary School with the intent to target her former in-laws' children who she believed attended the school. After shooting a boy in a bathroom down the hall, she entered a second-grade classroom and began shooting the students, killing one and injuring five more. She fled the scene and entered a home, where she injured another young man before turning the gun on herself in a bedroom.",2,7,8,Yes,White American or European American,Female,42.10648807,-87.74211141
296,Electromagnetic Systems Laboratory (ESL),"Sunnyvale, California",2/16/1988,"On February 16, 1988, a 39-year-old man arrived at his former workplace, ESL in Sunnyvale, California, and began shooting his ex-coworkers in the parking lot. After shooting through the security mechanisms on the doors of the facility, he opened fire on office equipment and employees, including a female colleague that issued a restraining order against the shooter about a week prior. The incident ended with seven fatalities and four injuries, the female coworker among the injured.",7,4,11,Yes,White American or European American,Male,37.38344257,-122.0256185
297,Pinellas Park High School,"Pinellas Park, Florida",2/11/1988,"On February 11, 1988, two students age 15 and 16 were confronted by school personnel regarding firearms they had stolen and carried on campus. The shooting began after the staff attempted to physically restrain the students, and ended with an assistant principal killed and two others injured.",1,2,3,No,White American or European American,Male,27.84887061,-82.71058
298,Palm Bay Shopping Centers,"Palm Bay, Florida",4/23/1987,"On April 23, 1987, a 59-year-old retired librarian in Palm Bay, Florida began a shooting spree in his neighborhood, where he shot and injured several of his neighbors. He continued the shooting at two local shopping centers, killing a total of four civilians and two police officers, and injuring nine others.",6,14,20,Yes,White American or European American,Male,27.98388983,-80.66662713
299,Fergus County High School,"Lewistown, Montana",12/4/1986,"On December 4, 1986, a 14-year-old student at Fergus County High School in Lewistown, Montana, disgruntled with his grades, fatally shot a teacher and wounded a vice principal and two students as he fled. He was arrested at his home an hour later.",1,3,4,Yes,White American or European American,Male,47.03740653,-109.4844918
300,"Post office in Edmond, Oklahoma","Edmond, Oklahoma",8/20/1986,"On August 20, 1986, a 44-year-old postal worker in Edmond, Oklahoma opened fire on his supervisors and coworkers at the post office in which he worked. He killed fourteen postal employees and wounded six others before committing suicide.",15,6,20,Yes,White American or European American,Male,35.66889223,-97.41438792
301,New York Technical College,"Brooklyn, New York",8/12/1986,"On August 12, 1986, a 29-year civil technology student  at New York Technical College in Brooklyn went to the school thinking his supervisor was the reason he had not received his financial aid. He killed the supervisor and wounded four other people. He was later arrested by the police.",1,4,5,Yes,Black American or African American,Male,40.679276,-73.939513
302,Atlanta Post Office,"Atlanta, Georgia",3/6/1985,"On March 6, 1985, a 30-year-old employee at the Atlanta Post Office, opened fire in the mail sorting area killing two of his coworkers and wounding a third one before he was subdue by other postal workers.",2,1,3,Yes,Black American or African American,Male,33.7629969,-84.4231328
303,Goddard Junior High School,"Goddard, Kansas",1/21/1985,"On January 21, 1985, a 14-year-old student entered Goddard Junior High School in Goddard, Kansas. The student killed the principal and injured two teachers and another student. He was arrested 90 minutes later by a policeman in a field just south of Goddard.",1,3,4,Yes,White American or European American,Male,37.67129418,-97.55070476
304,McDonald's restaurant in San Ysidro,"San Ysidro, California",7/18/1984,"On July 18, 1984, a 41-year-old unemployed man, walked into a McDonald's restaurant in San Ysidro, California, killing twenty-one people and injuring nineteen others. The shooter was killed at the scene by a SWAT team sniper perched on the roof next door.",22,19,40,Yes,White American or European American,Male,32.555556,-117.047656
305,Ianni's Club in Dallas,"Dallas, Texas",6/29/1984,"On June 29, 1984, a 39-year-old man who was rejected by a dance partner at Ianni's Dance Club in Dallas, Texas, left the club and returned with a semiautomatic pistol killing the woman and five other patrons and seriously wounded a seventh person. ",6,1,7,Yes,White American or European American,Male,32.79480596,-96.76631094
306,49th Street Elementary School,"Los Angeles, California",2/24/1984,"On February 24, a 28-year-old man began shooting at children and staff leaving 49th Street Elementary School in South Central Los Angeles in California. The gunman positioned himself in a room on the second story of his home and killed two people and wounded twelve others.",3,12,14,Yes,Black American or African American,Male,34.17622092,-118.5399542
307,Johnston Post Office,"Johnston, South Carolina",8/19/1983,"On August 19, 1983, a 55-year-old former postal worker went into the Johnston Post Office in South Carolina three months after he had resigned. He killed the local postmaster and wounded three others. It was the last day at work for the postmaster.",1,3,4,Yes,White American or European American,Male,33.83272887,-81.8051584
308,Wah Mee Club in Seattle,"Seattle, Washington",2/18/1983,"On February 18, 1983, three man between the ages of 22 and 24 entered the Wah Mee gambling club in Seattle, Washington, shooting fourteen people. Thirteen victims lost their lives, but one survived to testify.",13,1,14,Unknown,Asian American,Male,47.62199575,-122.323646
309,Welding shop in Miami,"Miami, Florida",8/20/1982,"On August 20, 1982, a 51-year-old teacher on psychiatric leave opened fire inside a welding shop in Miami, Florida killing eight employees and wounding another three. The shooter was later shot and run down by two witnesses while he was cycling away from the crime scene.",9,3,11,Yes,White American or European American,Male,25.79653943,-80.20840397
310,Valley High School,"Las Vegas, Nevada",3/19/1982,"On March 19, 1982, a 17-year-old student walked into Valley High School in Las Vegas, Nevada. The shooter shot and killed a teacher and injured two students.",1,2,3,Yes,White American or European American,Male,36.18931923,-115.3264875
311,University of South Carolina,"Columbia, South Carolina",10/6/1979,"On October 6, 1979, a 19-year-old student at University of South Carolina opened fire at a homecoming weekend fraternity party, killing two students and wounding five others.",2,5,7,Unknown,Black American or African American,Male,34.05098834,-80.82077527
312,Grover Cleveland Elementary School,"San Diego, California",1/29/1979,"On January 29, 1979, a 16-year-old opened fire at children waiting to enter Grover Cleveland Elementary School. The shooter put herself by a window in her home and began shooting across the street while the children were waiting outside for the principal to open the gate.  The principal and a custodian were killed and eight children and a police officer were injured.",2,9,11,Yes,White American or European American,Female,32.86357277,-117.1281628
313,Cal State Fullerton,"Fullerton, California",7/12/1976,"On July 12, 1976, a 37-year-old custodian at California State University in Fullerton open fired in the library's first-floor lobby and at the building's Instructional Media Center killing seven people and wounding two others. ",7,2,9,Yes,White American or European American,Male,33.88404244,-117.92785
314,Los Angeles Computer Learning Center,"Los Angeles, California",2/19/1976,"On February 19, 1976, a 18-year-old student at a Los Angeles computer school opened fire during a test at his fellow students with a shotgun, killing one student and wounding several others. When trying to escape, he was apprehended by a security guard who exchanged fire with the shooter, leaving him critically wounded. The security guard was injured during the exchange.",1,7,8,Unknown,White American or European American,Male,34.17622092,-118.5399542
315,Olean High School,"Olean, New York",12/30/1974,"On December 30, 1974, a 17-year-old honor student and member of the school's rifle team, entered Olean High School, looked himself in a room on the school's third floor, where he shot a custodian inside the building and nine people on the streets below. Following the shooting, police had found homemade propane bombs in Barbaro's bedroom, as well as bomb recipes and a journal that detailed his plans of the shooting.",3,7,10,No,White American or European American,Male,42.08185369,-78.43213922
316,Clara Barton Elementary School,"Chicago, Illinois",1/17/1974,"On January 17, 1974, a 14-year-old student entered Clara Barton Elementary School in Chicago, Illinois and killed the principal and wounded three others before he was seized by a teacher when both his guns jammed. Apparently, the student was angry at the fact that he had been expelled from the school and transferred to a social adjustment center earlier that week.",1,3,4,Yes,Unknown,Male,41.83928045,-87.68818145
317,New Orleans Police Shootings,"New Orleans, Louisiana",12/31/1972,"On New Year's Eve in 1972, a 23-year-old ex-Navy dental technician went to the central lockup New Orleans Police Department and shot four policeman that day.  Seven days later on January 7, 1973, the shooter shot a grocer and entered the Downtown Howard Johnson Hotel where he shot seventeen people before killed him at the top of the hotel roof.",10,13,22,Yes,Black American or African American,Male,30.0687242,-89.93147412
318,St. Aloysius Church,"Spokane, Washington",11/11/1971,"On November 11, 1971, a former MIT student entered St. Aloysius Roman Catholic Church on the Gonzaga University campus. The shooter killed the caretaker and wounded four more people before he was killed by police.",2,4,5,Yes,White American or European American,Male,47.67367375,-117.4159843
319,Rose-Mar College of Beauty,"Mesa, Arizona",11/12/1966,"On November 12, 1966, an 18-year-old high school student entered the Rose-Mar College of Beauty in Mesa, Arizona, ordering his victims to lay on the ground in a circle. The gunman shot and killed four women and a child and injured another woman and an infant. He considered a few sites, like his school, where he thought of wiping out the teachers. Finally, he settled on the Rose-Mar College of Beauty, where he thought he'd get a nice large group of victims.",5,1,6,Yes,White American or European American,Male,33.42268696,-111.8163202
320,University of Texas at Austin,"Austin, Texas",8/1/1966,"On August 1, 1966, a 25-year-old engineering student at the University of Texas in Austin killed sixteen people and wounded thirty-two others in and around the Tower of the University of Texas. Prior to commencing the mass shootings at the University, the student and former U.S. Marine, had murdered both his wife and mother in Austin, Texas.",17,32,48,Yes,White American or European American,Male,30.1988873,-97.84415949
